message,timestamp,severity,tags,attributes
,2026-03-27T04:07:54.620818070Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: us-west1][0m,2026-03-27T04:07:56.757254254Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-03-27T04:07:56.763128032Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-03-27T04:07:56.763161567Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-03-27T04:07:56.763165362Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-03-27T04:07:56.763168673Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: nkds-YoxT,2026-03-27T04:07:56.763181935Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-03-27T04:08:01.610435387Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:5cf760ed934854e1366cf9d29ac028c6cae70da0a0c35ef88e9445d742e3bca0"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-27T04:08:01.610501574Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:01.578740186Z"",""digest"":""sha256:5cf760ed934854e1366cf9d29ac028c6cae70da0a0c35ef88e9445d742e3bca0"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.57869729Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-27T04:08:01.610514730Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:5cf760ed934854e1366cf9d29ac028c6cae70da0a0c35ef88e9445d742e3bca0"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.578853071Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-27T04:08:01.646744025Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:01.62789203Z"",""digest"":""sha256:5cf760ed934854e1366cf9d29ac028c6cae70da0a0c35ef88e9445d742e3bca0"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.578853071Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/python:3.11-slim,2026-03-27T04:08:01.670973438Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:7fd88e7eb08a3ac0de427c694acb0199f4ed840466682c40d68abccca25d73ae"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.633966043Z"",""type"":""vertex""}"
