message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:29.718444248Z
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.158388054Z
"  File ""/app/scripts/run_migrations.py"", line 43, in <module>",error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.158391409Z
"    ""014_competitor_system.sql"",  -- V4选题推荐系统 - 竞品爆款数据源",error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.158394193Z
                                     ^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.158397018Z
"  File ""/app/scripts/run_migrations.py"", line 43, in <module>",error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.527134516Z
"    ""014_competitor_system.sql"",  -- V4选题推荐系统 - 竞品爆款数据源",error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.527137456Z
                                     ^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.527140115Z
NameError: name 'V4选题推荐系统' is not defined,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.527360877Z
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.927355303Z
"  File ""/app/scripts/run_migrations.py"", line 43, in <module>",error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.927358169Z
"    ""014_competitor_system.sql"",  -- V4选题推荐系统 - 竞品爆款数据源",error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.927361416Z
                                     ^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""a247e016-3d24-4269-92c6-7dc768d9e196"",""replica"":""8980dfaf-1dbf-4f41-93c1-6d8449dcc8e8""}",2026-03-28T03:54:30.927364382Z
